yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O09100	O09100	GATA2_MOUSE	reviewed	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	Gata2	Mus musculus (Mouse)	480
P42227	P42227	STAT3_MOUSE	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	Stat3 Aprf	Mus musculus (Mouse)	770
P42230	P42230	STA5A_MOUSE	reviewed	Signal transducer and activator of transcription 5A (Mammary gland factor)	Stat5a Mgf Mpf	Mus musculus (Mouse)	793
Q9WTL8	Q9WTL8	BMAL1_MOUSE	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Arnt3) (Brain and muscle ARNT-like 1)	Arntl Bmal1	Mus musculus (Mouse)	632
P27577	P27577	ETS1_MOUSE	reviewed	Protein C-ets-1 (p54)	Ets1 Ets-1	Mus musculus (Mouse)	440
Q80UV9	Q80UV9	TAF1_MOUSE	reviewed	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)	Taf1 Ccg1	Mus musculus (Mouse)	1891
P40645	P40645	SOX6_MOUSE	reviewed	Transcription factor SOX-6 (SOX-LZ)	Sox6 Sox-6	Mus musculus (Mouse)	827
P17679	P17679	GATA1_MOUSE	reviewed	Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein)	Gata1 Gf-1	Mus musculus (Mouse)	413
Q62315	Q62315	JARD2_MOUSE	reviewed	Protein Jumonji (Jumonji/ARID domain-containing protein 2)	Jarid2 Jmj	Mus musculus (Mouse)	1234
Q3UXZ9	Q3UXZ9	KDM5A_MOUSE	reviewed	Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)	Kdm5a Jarid1a Rbp2	Mus musculus (Mouse)	1690
P45448	P45448	NR5A2_MOUSE	reviewed	Nuclear receptor subfamily 5 group A member 2 (Liver receptor homolog 1) (LRH-1)	Nr5a2 Lrh1	Mus musculus (Mouse)	560
Q9JM73	Q9JM73	SRF_MOUSE	reviewed	Serum response factor (SRF)	Srf	Mus musculus (Mouse)	504
P70324	P70324	TBX3_MOUSE	reviewed	T-box transcription factor TBX3 (T-box protein 3)	Tbx3	Mus musculus (Mouse)	741
Q07802	Q07802	COE1_MOUSE	reviewed	Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor)	Ebf1 Coe1 Ebf	Mus musculus (Mouse)	591
P17433	P17433	SPI1_MOUSE	reviewed	Transcription factor PU.1 (31 kDa-transforming protein) (SFFV proviral integration 1 protein)	Spi1 Sfpi-1 Sfpi1	Mus musculus (Mouse)	272
P06876	P06876	MYB_MOUSE	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	Myb	Mus musculus (Mouse)	636
P29037	P29037	TBP_MOUSE	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	Tbp Tfiid	Mus musculus (Mouse)	316
Q8VIG1	Q8VIG1	REST_MOUSE	reviewed	RE1-silencing transcription factor (Neural-restrictive silencer factor)	Rest Nrsf	Mus musculus (Mouse)	1082
Q9ES03	Q9ES03	TBX20_MOUSE	reviewed	T-box transcription factor TBX20 (T-box protein 20)	Tbx20 Tbx12	Mus musculus (Mouse)	445
Q8C6P8	Q8C6P8	ZFP57_MOUSE	reviewed	Zinc finger protein 57 (Zfp-57)	Zfp57	Mus musculus (Mouse)	421
Q00899	Q00899	TYY1_MOUSE	reviewed	Transcriptional repressor protein YY1 (Delta transcription factor) (NF-E1) (UCR-motif DNA-binding protein) (Yin and yang 1) (YY-1)	Yy1 Ucrbp	Mus musculus (Mouse)	414
Q80Y84	Q80Y84	KDM5B_MOUSE	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.67) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	Kdm5b Jarid1b Kiaa4034 Plu1	Mus musculus (Mouse)	1544
Q9R1E0	Q9R1E0	FOXO1_MOUSE	reviewed	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	Foxo1 Fkhr Foxo1a	Mus musculus (Mouse)	652
Q02650	Q02650	PAX5_MOUSE	reviewed	Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP)	Pax5 Pax-5	Mus musculus (Mouse)	391
Q9CWW7	Q9CWW7	CXXC1_MOUSE	reviewed	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	Cxxc1 Cgbp Pccx1	Mus musculus (Mouse)	660
P59997	P59997	KDM2A_MOUSE	reviewed	Lysine-specific demethylase 2A (EC 1.14.11.27) (F-box and leucine-rich repeat protein 11) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A)	Kdm2a Fbl11 Fbxl11 Jhdm1a Kiaa1004	Mus musculus (Mouse)	1161
O54751	O54751	CRX_MOUSE	reviewed	Cone-rod homeobox protein	Crx	Mus musculus (Mouse)	299
P46099	P46099	KLF1_MOUSE	reviewed	Krueppel-like factor 1 (Erythroid krueppel-like transcription factor) (EKLF)	Klf1 Elkf	Mus musculus (Mouse)	358
P48985	P48985	ATOH1_MOUSE	reviewed	Protein atonal homolog 1 (Helix-loop-helix protein mATH-1) (mATH1)	Atoh1 Ath1	Mus musculus (Mouse)	351
P26323	P26323	FLI1_MOUSE	reviewed	Friend leukemia integration 1 transcription factor (Retroviral integration site protein Fli-1)	Fli1 Fli-1	Mus musculus (Mouse)	452
O70237	O70237	GFI1B_MOUSE	reviewed	Zinc finger protein Gfi-1b (Growth factor independent protein 1B)	Gfi1b	Mus musculus (Mouse)	330
P27792	P27792	LYL1_MOUSE	reviewed	Protein lyl-1 (Lymphoblastic leukemia-derived sequence 1)	Lyl1 Lyl-1	Mus musculus (Mouse)	278
P25425	P25425	PO2F1_MOUSE	reviewed	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)	Pou2f1 Oct-1 Otf-1 Otf1	Mus musculus (Mouse)	770
Q03347	Q03347	RUNX1_MOUSE	reviewed	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	Runx1 Aml1 Cbfa2 Pebp2ab	Mus musculus (Mouse)	451
Q8R0K9	Q8R0K9	E2F4_MOUSE	reviewed	Transcription factor E2F4 (E2F-4)	E2f4	Mus musculus (Mouse)	410
E9Q3T6	E9Q3T6	PRD14_MOUSE	reviewed	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	Prdm14	Mus musculus (Mouse)	561
Q60974	Q60974	NCOR1_MOUSE	reviewed	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)	Ncor1 Rxrip13	Mus musculus (Mouse)	2453
Q3UV55	Q3UV55	NR1D1_MOUSE	reviewed	Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1)	Nr1d1 Ear1	Mus musculus (Mouse)	615
P13297	P13297	MSX1_MOUSE	reviewed	Homeobox protein MSX-1 (Homeobox protein Hox-7) (Hox-7.1) (Msh homeobox 1-like protein)	Msx1 Hox7 Hox7.1	Mus musculus (Mouse)	303
P35583	P35583	FOXA2_MOUSE	reviewed	Hepatocyte nuclear factor 3-beta (HNF-3-beta) (HNF-3B) (Forkhead box protein A2)	Foxa2 Hnf3b Tcf-3b Tcf3b	Mus musculus (Mouse)	459
P42228	P42228	STAT4_MOUSE	reviewed	Signal transducer and activator of transcription 4	Stat4	Mus musculus (Mouse)	749
P42232	P42232	STA5B_MOUSE	reviewed	Signal transducer and activator of transcription 5B	Stat5b	Mus musculus (Mouse)	786
P70340	P70340	SMAD1_MOUSE	reviewed	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (Dwarfin-A) (Dwf-A) (Mothers-against-DPP-related 1) (Mad-related protein 1) (mMad1) (SMAD family member 1) (SMAD 1) (Smad1)	Smad1 Madh1 Madr1	Mus musculus (Mouse)	465
Q60867	Q60867	NDF1_MOUSE	reviewed	Neurogenic differentiation factor 1 (NeuroD1) (Beta-cell E-box transcriptional activator 2) (Beta2)	Neurod1 Neurod	Mus musculus (Mouse)	357
Q8CF90	Q8CF90	MAFA_MOUSE	reviewed	Transcription factor MafA (Pancreatic beta-cell-specific transcriptional activator) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog A)	Mafa	Mus musculus (Mouse)	359
P15806	P15806	TFE2_MOUSE	reviewed	Transcription factor E2-alpha (Immunoglobulin enhancer-binding factor E12/E47) (Transcription factor 3) (TCF-3) (Transcription factor A1)	Tcf3 Alf2 Me2 Tcfe2a	Mus musculus (Mouse)	651
P42225	P42225	STAT1_MOUSE	reviewed	Signal transducer and activator of transcription 1	Stat1	Mus musculus (Mouse)	749
Q61501	Q61501	E2F1_MOUSE	reviewed	Transcription factor E2F1 (E2F-1)	E2f1	Mus musculus (Mouse)	430
Q3UNW5	Q3UNW5	TF2L1_MOUSE	reviewed	Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1)	Tfcp2l1 Crtr1 Tcfcp2l1	Mus musculus (Mouse)	479
P17012	P17012	ZFX_MOUSE	reviewed	Zinc finger X-chromosomal protein	Zfx	Mus musculus (Mouse)	799
Q60793	Q60793	KLF4_MOUSE	reviewed	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	Klf4 Ezf Gklf Zie	Mus musculus (Mouse)	483
Q61539	Q61539	ERR2_MOUSE	reviewed	Steroid hormone receptor ERR2 (Estrogen receptor-like 2) (Estrogen-related receptor beta) (ERR-beta) (Nuclear receptor subfamily 3 group B member 2)	Esrrb Err-2 Err2 Nr3b2	Mus musculus (Mouse)	433
P01108	P01108	MYC_MOUSE	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	Myc	Mus musculus (Mouse)	439
P03966	P03966	MYCN_MOUSE	reviewed	N-myc proto-oncogene protein	Mycn Nmyc Nmyc1	Mus musculus (Mouse)	462
P28700	P28700	RXRA_MOUSE	reviewed	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Rxra Nr2b1	Mus musculus (Mouse)	467
P43241	P43241	CDX2_MOUSE	reviewed	Homeobox protein CDX-2 (Caudal-type homeobox protein 2)	Cdx2 Cdx-2	Mus musculus (Mouse)	311
P70255	P70255	NFIC_MOUSE	reviewed	Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein)	Nfic	Mus musculus (Mouse)	439
Q62432	Q62432	SMAD2_MOUSE	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2 Madr2	Mus musculus (Mouse)	467
Q3URK3	Q3URK3	TET1_MOUSE	reviewed	Methylcytosine dioxygenase TET1 (EC 1.14.11.n2) (CXXC-type zinc finger protein 6) (Ten-eleven translocation 1 gene protein homolog)	Tet1 Cxxc6 Kiaa1676	Mus musculus (Mouse)	2007
Q00322	Q00322	CEBPD_MOUSE	reviewed	CCAAT/enhancer-binding protein delta (C/EBP delta) (C/EBP-related protein 3)	Cebpd Crp3	Mus musculus (Mouse)	268
P28705	P28705	RXRG_MOUSE	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Rxrg Nr2b3	Mus musculus (Mouse)	463
P09631	P09631	HXA9_MOUSE	reviewed	Homeobox protein Hox-A9 (Homeobox protein Hox-1.7)	Hoxa9 Hox-1.7 Hoxa-9	Mus musculus (Mouse)	271
O35261	O35261	E2F3_MOUSE	reviewed	Transcription factor E2F3 (E2F-3)	E2f3	Mus musculus (Mouse)	457
Q9JKD8	Q9JKD8	TBX21_MOUSE	reviewed	T-box transcription factor TBX21 (T-box protein 21) (T-cell-specific T-box transcription factor T-bet) (Transcription factor TBLYM)	Tbx21 Tbet Tblym	Mus musculus (Mouse)	530
P11416	P11416	RARA_MOUSE	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	Rara Nr1b1	Mus musculus (Mouse)	462
O35885	O35885	ASCL2_MOUSE	reviewed	Achaete-scute homolog 2 (ASH-2) (mASH-2) (mASH2)	Ascl2 Mash2	Mus musculus (Mouse)	263
P23772	P23772	GATA3_MOUSE	reviewed	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	Gata3 Gata-3	Mus musculus (Mouse)	443
Q8BGD7	Q8BGD7	NPAS4_MOUSE	reviewed	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (HLH-PAS transcription factor NXF) (Limbic-enhanced PAS protein) (LE-PAS)	Npas4 Nxf	Mus musculus (Mouse)	802
Q01147	Q01147	CREB1_MOUSE	reviewed	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	Creb1 Creb-1	Mus musculus (Mouse)	327
P53566	P53566	CEBPA_MOUSE	reviewed	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	Cebpa Cebp	Mus musculus (Mouse)	359
Q00196	Q00196	PO2F2_MOUSE	reviewed	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	Pou2f2 Oct2 Otf2	Mus musculus (Mouse)	463
Q60644	Q60644	NR1H2_MOUSE	reviewed	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor subfamily 1 group H member 2) (Retinoid X receptor-interacting protein No.15) (Ubiquitously-expressed nuclear receptor)	Nr1h2 Lxrb Rip15 Unr Unr2	Mus musculus (Mouse)	446
Q8BUN5	Q8BUN5	SMAD3_MOUSE	reviewed	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (mMad3) (SMAD family member 3) (SMAD 3) (Smad3)	Smad3 Madh3	Mus musculus (Mouse)	425
P10085	P10085	MYOD1_MOUSE	reviewed	Myoblast determination protein 1	Myod1 Myod	Mus musculus (Mouse)	318
P09633	P09633	HXC9_MOUSE	reviewed	Homeobox protein Hox-C9 (Homeobox protein Hox-3.2)	Hoxc9 Hox-3.2 Hoxc-9	Mus musculus (Mouse)	260
Q61687	Q61687	ATRX_MOUSE	reviewed	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (HP1 alpha-interacting protein) (HP1-BP38 protein) (Heterochromatin protein 2) (X-linked nuclear protein)	Atrx Hp1bp2 Xnp	Mus musculus (Mouse)	2476
P48377	P48377	RFX1_MOUSE	reviewed	MHC class II regulatory factor RFX1 (Regulatory factor X 1) (Transcription factor RFX1)	Rfx1	Mus musculus (Mouse)	963
P23708	P23708	NFYA_MOUSE	reviewed	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	Nfya	Mus musculus (Mouse)	346
Q8C796	Q8C796	RCOR2_MOUSE	reviewed	REST corepressor 2 (M-CoREST)	Rcor2	Mus musculus (Mouse)	523
Q9EQW6	Q9EQW6	OLIG2_MOUSE	reviewed	Oligodendrocyte transcription factor 2 (Oligo2)	Olig2	Mus musculus (Mouse)	323
O35185	O35185	BHE40_MOUSE	reviewed	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (E47 interaction protein 1) (EIP1) (Stimulated by retinoic acid gene 13 protein)	Bhlhe40 Bhlhb2 Clast5 Dec1 Stra13	Mus musculus (Mouse)	411
Q64705	Q64705	USF2_MOUSE	reviewed	Upstream stimulatory factor 2 (Major late transcription factor 2) (Upstream transcription factor 2)	Usf2	Mus musculus (Mouse)	346
P12979	P12979	MYOG_MOUSE	reviewed	Myogenin (MYOD1-related protein)	Myog	Mus musculus (Mouse)	224
P05627	P05627	JUN_MOUSE	reviewed	Transcription factor AP-1 (AH119) (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (Jun A)	Jun	Mus musculus (Mouse)	334
P28574	P28574	MAX_MOUSE	reviewed	Protein max (Myc-associated factor X) (Myc-binding novel HLH/LZ protein) (Protein myn)	Max Myn	Mus musculus (Mouse)	160
Q61286	Q61286	HTF4_MOUSE	reviewed	Transcription factor 12 (TCF-12) (Class A helix-loop-helix transcription factor ME1) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	Tcf12 Alf1 Meb	Mus musculus (Mouse)	706
Q61827	Q61827	MAFK_MOUSE	reviewed	Transcription factor MafK (Erythroid transcription factor NF-E2 p18 subunit)	Mafk Nfe2u	Mus musculus (Mouse)	156
P15066	P15066	JUND_MOUSE	reviewed	Transcription factor jun-D	Jund Jun-d Jund1	Mus musculus (Mouse)	341
P50540	P50540	MXI1_MOUSE	reviewed	Max-interacting protein 1 (Max interactor 1)	Mxi1	Mus musculus (Mouse)	228
Q61069	Q61069	USF1_MOUSE	reviewed	Upstream stimulatory factor 1 (Major late transcription factor 1)	Usf1 Usf	Mus musculus (Mouse)	310
P25976	P25976	UBF1_MOUSE	reviewed	Nucleolar transcription factor 1 (Upstream-binding factor 1) (UBF-1)	Ubtf Tcfubf Ubf-1 Ubf1	Mus musculus (Mouse)	765
E9Q1A5	E9Q1A5	E9Q1A5_MOUSE	unreviewed	Zinc finger protein 384	Zfp384	Mus musculus (Mouse)	584
Q8CFE3	Q8CFE3	RCOR1_MOUSE	reviewed	REST corepressor 1 (Protein CoREST)	Rcor1 D12Wsu95e Kiaa0071	Mus musculus (Mouse)	480
Q00422	Q00422	GABPA_MOUSE	reviewed	GA-binding protein alpha chain (GABP subunit alpha)	Gabpa E4tf1a	Mus musculus (Mouse)	454
Q8BGS3	Q8BGS3	ZKSC1_MOUSE	reviewed	Zinc finger protein with KRAB and SCAN domains 1	Zkscan1	Mus musculus (Mouse)	561
P56671	P56671	MAZ_MOUSE	reviewed	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor)	Maz	Mus musculus (Mouse)	477
P48755	P48755	FOSL1_MOUSE	reviewed	Fos-related antigen 1 (FRA-1)	Fosl1 Fra1	Mus musculus (Mouse)	273
P70671	P70671	IRF3_MOUSE	reviewed	Interferon regulatory factor 3 (IRF-3)	Irf3	Mus musculus (Mouse)	419
P08152	P08152	EGR2_MOUSE	reviewed	E3 SUMO-protein ligase EGR2 (EC 2.3.2.-) (E3 SUMO-protein transferase ERG2) (Early growth response protein 2) (EGR-2) (Zinc finger protein Krox-20)	Egr2 Egr-2 Krox-20 Zfp-25	Mus musculus (Mouse)	470
Q9WVH4	Q9WVH4	FOXO3_MOUSE	reviewed	Forkhead box protein O3	Foxo3 Fkhr2 Foxo3a	Mus musculus (Mouse)	672
O08785	O08785	CLOCK_MOUSE	reviewed	Circadian locomoter output cycles protein kaput (mCLOCK) (EC 2.3.1.48)	Clock	Mus musculus (Mouse)	855
O09000	O09000	NCOA3_MOUSE	reviewed	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (Amplified in breast cancer-1 protein homolog) (AIB-1) (CBP-interacting protein) (p/CIP) (pCIP) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (ACTR) (TRAM-1)	Ncoa3 Aib1 Pcip Rac3 Tram1	Mus musculus (Mouse)	1398
O70230	O70230	ZN143_MOUSE	reviewed	Zinc finger protein 143 (Zfp-143) (Selenocysteine tRNA gene transcription-activating factor) (mStaf)	Znf143 Staf Zfp143	Mus musculus (Mouse)	638
Q60954	Q60954	MEIS1_MOUSE	reviewed	Homeobox protein Meis1 (Myeloid ecotropic viral integration site 1)	Meis1	Mus musculus (Mouse)	390
O70477	O70477	PKNX1_MOUSE	reviewed	Homeobox protein PKNOX1 (PBX/knotted homeobox 1)	Pknox1 Prep1	Mus musculus (Mouse)	436
P41778	P41778	PBX1_MOUSE	reviewed	Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1)	Pbx1 Pbx-1	Mus musculus (Mouse)	430
P70338	P70338	GFI1_MOUSE	reviewed	Zinc finger protein Gfi-1 (Growth factor independent protein 1)	Gfi1 Gfi-1	Mus musculus (Mouse)	423
Q02067	Q02067	ASCL1_MOUSE	reviewed	Achaete-scute homolog 1 (ASH-1) (mASH-1) (mASH1)	Ascl1 Ash1 Mash-1 Mash1	Mus musculus (Mouse)	231
P31360	P31360	PO3F2_MOUSE	reviewed	POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)	Pou3f2 Brn-2 Brn2 Otf7	Mus musculus (Mouse)	445
P97500	P97500	MYT1L_MOUSE	reviewed	Myelin transcription factor 1-like protein (MyT1-L) (MyT1L) (Neural zinc finger factor 1) (NZF-1) (Postmitotic neural gene 1 protein) (Zinc finger protein Png-1)	Myt1l Kiaa1106 Nzf1 Png1	Mus musculus (Mouse)	1187
Q64249	Q64249	NR6A1_MOUSE	reviewed	Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (mGCNF) (Retinoid receptor-related testis-specific receptor) (RTR)	Nr6a1 Gcnf	Mus musculus (Mouse)	495
P51960	P51960	MYBA_MOUSE	reviewed	Myb-related protein A (A-Myb) (Myb-like protein 1)	Mybl1 Amyb	Mus musculus (Mouse)	751
O70273	O70273	EHF_MOUSE	reviewed	ETS homologous factor (ETS domain-containing transcription factor)	Ehf	Mus musculus (Mouse)	300
P19091	P19091	ANDR_MOUSE	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	Ar Nr3c4	Mus musculus (Mouse)	899
P81270	P81270	ERG_MOUSE	reviewed	Transcriptional regulator ERG	Erg Erg-3	Mus musculus (Mouse)	486
Q9QX98	Q9QX98	PTF1A_MOUSE	reviewed	Pancreas transcription factor 1 subunit alpha (Pancreas-specific transcription factor 1a) (bHLH transcription factor p48) (p48 DNA-binding subunit of transcription factor PTF1) (PTF1-p48)	Ptf1a Ptf1p48	Mus musculus (Mouse)	324
P31266	P31266	SUH_MOUSE	reviewed	Recombining binding protein suppressor of hairless (J kappa-recombination signal-binding protein) (RBP-J kappa)	Rbpj Igkjrb1 Igkrsbp Rbpsuh	Mus musculus (Mouse)	526
O08674	O08674	RBPJL_MOUSE	reviewed	Recombining binding protein suppressor of hairless-like protein (Transcription factor RBP-L)	Rbpjl Rbpl Rbpsuhl	Mus musculus (Mouse)	515
P97474	P97474	PITX2_MOUSE	reviewed	Pituitary homeobox 2 (ALL1-responsive protein ARP1) (BRX1 homeoprotein) (Homeobox protein PITX2) (Orthodenticle-like homeobox 2) (Paired-like homeodomain transcription factor 2) (Paired-like homeodomain transcription factor Munc 30) (Solurshin)	Pitx2 Arp1 Brx1 Otlx2 Ptx2 Rgs	Mus musculus (Mouse)	317
P19785	P19785	ESR1_MOUSE	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	Esr1 Esr Estr Estra Nr3a1	Mus musculus (Mouse)	599
Q61602	Q61602	GLI3_MOUSE	reviewed	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	Gli3	Mus musculus (Mouse)	1583
O08550	O08550	KMT2B_MOUSE	reviewed	Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.354) (Myeloid/lymphoid or mixed-lineage leukemia protein 4 homolog) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7)	Kmt2b Mll2 Trx2 Wbp7	Mus musculus (Mouse)	2713
